id,text,intent,intent_label_tr,target_path,split,language,provenance
tp-01-001,İstanbul içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-002,İstanbul için DC hızlı şarj noktalarını göster,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-003,İstanbul çevresinde uygun soketli şarj istasyonu arıyorum,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-004,Ankara içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-005,Ankara için DC hızlı şarj noktalarını göster,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-006,Ankara çevresinde uygun soketli şarj istasyonu arıyorum,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-007,İzmir içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-008,İzmir için DC hızlı şarj noktalarını göster,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-009,İzmir çevresinde uygun soketli şarj istasyonu arıyorum,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-010,Bursa içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-011,Bursa için DC hızlı şarj noktalarını göster,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-012,Bursa çevresinde uygun soketli şarj istasyonu arıyorum,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-013,Antalya içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-014,Antalya için DC hızlı şarj noktalarını göster,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-015,Antalya çevresinde uygun soketli şarj istasyonu arıyorum,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-01-016,Adana içinde yakınımdaki elektrikli araç şarj istasyonu nerede?,FIND_STATION,İstasyon bulma,/harita,train,tr,synthetic-editorial
tp-02-001,AC şarj fiyatlarını nasıl karşılaştırabilirim?,COMPARE_PRICE,Şarj fiyatı karşılaştırma,/blog/elektrikli-arac-sarj-fiyatlari,train,tr,synthetic-editorial
